speaker_norm,path_audio,age,gender,recrdTime,recrdEnv,recrdDevice,subset,path_label
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0330-1060M1121-2__000_0-01381936.wav,adult,M,1.96,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0330-1060M1121-2__000_0-01381936.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0635-1060M1121-2__000_0-01589265.wav,adult,M,3.71,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0635-1060M1121-2__000_0-01589265.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0003-1060M1121-2__000_0-01340969.wav,adult,M,5.89,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0003-1060M1121-2__000_0-01340969.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0225-1060M1121-2__000_0-01377944.wav,adult,M,4.86,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0225-1060M1121-2__000_0-01377944.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0095-1060M1121-2__000_0-01344637.wav,adult,M,5.0,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0095-1060M1121-2__000_0-01344637.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0371-1060M1121-2__000_0-01432713.wav,adult,M,2.97,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0371-1060M1121-2__000_0-01432713.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0351-1060M1121-2__000_0-01422866.wav,adult,M,2.45,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0351-1060M1121-2__000_0-01422866.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0319-1060M1121-2__000_0-01381241.wav,adult,M,4.9,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0319-1060M1121-2__000_0-01381241.json
1060,Training/data/TS_common_01/common/2021-12-15/1060/B0025-1060M1121-2__000_0-01341970.wav,adult,M,2.74,Clean,SmartPhone,Train,Training/label/TL_common_01/common/2021-12-15/1060/B0025-1060M1121-2__000_0-01341970.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0634-1060M1121-2__000_0-01589198.wav,adult,M,2.41,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0634-1060M1121-2__000_0-01589198.json
1060,Training/data/TS_common_01/common/2021-12-15/1060/B0037-1060M1121-2__000_0-01342154.wav,adult,M,2.06,Clean,SmartPhone,Train,Training/label/TL_common_01/common/2021-12-15/1060/B0037-1060M1121-2__000_0-01342154.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0073-1060M1121-2__000_0-01343856.wav,adult,M,2.52,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0073-1060M1121-2__000_0-01343856.json
1060,Training/data/TS_common_01/common/2021-12-15/1060/B0107-1060M1121-2__000_0-01430521.wav,adult,M,2.4,Clean,SmartPhone,Train,Training/label/TL_common_01/common/2021-12-15/1060/B0107-1060M1121-2__000_0-01430521.json
1060,Training/data/TS_random_01/random/2021-12-15/1060/C0610-1060M1121-2__000_0-01588225.wav,adult,M,2.27,Clean,SmartPhone,Train,Training/label/TL_random_01/random/2021-12-15/1060/C0610-1060M1121-2__000_0-01588225.json
